Date,Visitor,G,Home,G,,Att.,LOG,Notes
2016-11-03,Colorado Avalanche,0,Chicago Blackhawks,4,,21580,2:25,
2016-11-03,St. Louis Blues,2,Dallas Stars,6,,18532,2:40,
2016-11-03,New Jersey Devils,3,Florida Panthers,4,OT,11597,2:37,
2016-11-03,Pittsburgh Penguins,2,Los Angeles Kings,3,OT,18230,2:38,
2016-11-03,Philadelphia Flyers,3,New York Islanders,2,SO,11119,2:50,
2016-11-03,Edmonton Oilers,3,New York Rangers,5,,18006,2:31,
2016-11-03,Vancouver Canucks,0,Ottawa Senators,1,,13260,2:34,
2016-11-03,Calgary Flames,3,San Jose Sharks,2,,17562,2:24,
2016-11-03,Boston Bruins,4,Tampa Bay Lightning,3,SO,19092,3:04,
2016-11-03,Winnipeg Jets,3,Washington Capitals,4,OT,18506,2:39,
2016-11-04,Arizona Coyotes,1,Anaheim Ducks,5,,16405,2:33,
2016-11-04,Montreal Canadiens,0,Columbus Blue Jackets,10,,14436,2:39,
2016-11-04,Winnipeg Jets,5,Detroit Red Wings,3,,20027,2:43,
2016-11-05,New York Rangers,5,Boston Bruins,2,,17565,2:24,
2016-11-05,Minnesota Wild,0,Colorado Avalanche,1,,16256,2:34,
2016-11-05,Chicago Blackhawks,3,Dallas Stars,2,,18532,2:42,
2016-11-05,Calgary Flames,0,Los Angeles Kings,5,,18230,2:30,
2016-11-05,Philadelphia Flyers,4,Montreal Canadiens,5,,21288,2:32,
2016-11-05,Carolina Hurricanes,3,Nashville Predators,2,SO,17113,2:38,
2016-11-05,Edmonton Oilers,4,New York Islanders,3,SO,13862,2:41,
2016-11-05,Buffalo Sabres,2,Ottawa Senators,1,,16225,2:23,
2016-11-05,Pittsburgh Penguins,5,San Jose Sharks,0,,17562,2:29,
2016-11-05,Columbus Blue Jackets,1,St. Louis Blues,2,OT,18245,2:35,
2016-11-05,New Jersey Devils,1,Tampa Bay Lightning,4,,19092,2:37,
2016-11-05,Vancouver Canucks,3,Toronto Maple Leafs,6,,19480,2:48,
2016-11-05,Florida Panthers,2,Washington Capitals,4,,18506,2:32,
2016-11-06,Calgary Flames,1,Anaheim Ducks,4,,16218,2:27,
2016-11-06,New Jersey Devils,4,Carolina Hurricanes,1,,8650,2:23,
2016-11-06,Dallas Stars,3,Chicago Blackhawks,4,OT,21901,2:49,
2016-11-06,Edmonton Oilers,2,Detroit Red Wings,1,,20027,2:28,
2016-11-06,Winnipeg Jets,2,New York Rangers,5,,18006,2:23,
2016-11-06,Colorado Avalanche,1,St. Louis Blues,5,,17220,2:26,
2016-11-07,Buffalo Sabres,0,Boston Bruins,4,,17565,2:34,
2016-11-07,Tampa Bay Lightning,1,Florida Panthers,3,,11703,2:28,
2016-11-07,Vancouver Canucks,2,New York Islanders,4,,12514,2:29,
2016-11-08,Arizona Coyotes,4,Colorado Avalanche,2,,13858,2:27,
2016-11-08,Boston Bruins,2,Montreal Canadiens,3,,21288,2:33,
2016-11-08,Carolina Hurricanes,2,New Jersey Devils,3,SO,12179,2:50,
2016-11-08,Ottawa Senators,1,Nashville Predators,3,,17113,2:35,
2016-11-08,Vancouver Canucks,5,New York Rangers,3,,18006,2:26,
2016-11-08,Detroit Red Wings,3,Philadelphia Flyers,2,SO,19598,2:35,
2016-11-08,Edmonton Oilers,3,Pittsburgh Penguins,4,,18576,2:26,
2016-11-08,Los Angeles Kings,7,Toronto Maple Leafs,0,,18976,2:27,
2016-11-08,Dallas Stars,2,Winnipeg Jets,8,,15294,3:26,
2016-11-08,San Jose Sharks,3,Washington Capitals,0,,18506,2:21,
2016-11-09,Ottawa Senators,2,Buffalo Sabres,1,SO,17884,2:42,
2016-11-09,Anaheim Ducks,2,Columbus Blue Jackets,3,OT,10250,2:39,
2016-11-09,Chicago Blackhawks,2,St. Louis Blues,1,OT,18704,2:31,
2016-11-10,Winnipeg Jets,3,Arizona Coyotes,2,,11185,2:22,
2016-11-10,Columbus Blue Jackets,2,Boston Bruins,5,,17565,2:26,
2016-11-10,Anaheim Ducks,4,Carolina Hurricanes,2,,8086,2:32,
2016-11-10,Dallas Stars,4,Calgary Flames,2,,18795,2:30,
2016-11-10,Vancouver Canucks,1,Detroit Red Wings,3,,20027,2:28,
2016-11-10,San Jose Sharks,4,Florida Panthers,2,,11703,2:24,
2016-11-10,Los Angeles Kings,1,Montreal Canadiens,4,,21288,2:27,
2016-11-10,St. Louis Blues,1,Nashville Predators,3,,17259,2:24,
2016-11-10,Minnesota Wild,4,Pittsburgh Penguins,2,,18458,2:34,
2016-11-10,New York Islanders,1,Tampa Bay Lightning,4,,19092,2:22,
2016-11-11,New Jersey Devils,2,Buffalo Sabres,1,OT,18301,2:41,
2016-11-11,Washington Capitals,3,Chicago Blackhawks,2,OT,22075,2:32,
2016-11-11,Winnipeg Jets,2,Colorado Avalanche,3,OT,16517,2:30,
2016-11-11,Dallas Stars,3,Edmonton Oilers,2,,18347,2:30,
2016-11-11,Los Angeles Kings,1,Ottawa Senators,2,,15622,2:32,
2016-11-11,Philadelphia Flyers,3,Toronto Maple Leafs,6,,19189,2:25,
2016-11-12,Boston Bruins,2,Arizona Coyotes,1,,16531,2:35,
2016-11-12,Washington Capitals,1,Carolina Hurricanes,5,,12436,2:29,
2016-11-12,St. Louis Blues,4,Columbus Blue Jackets,8,,15788,2:34,
2016-11-12,New York Rangers,4,Calgary Flames,1,,18421,2:21,
2016-11-12,New York Islanders,2,Florida Panthers,3,OT,15828,2:53,
2016-11-12,Detroit Red Wings,0,Montreal Canadiens,5,,21288,2:33,
2016-11-12,Buffalo Sabres,2,New Jersey Devils,4,,16514,2:34,
2016-11-12,Anaheim Ducks,0,Nashville Predators,5,,17309,2:37,
2016-11-12,Minnesota Wild,2,Philadelphia Flyers,3,,19591,2:30,
2016-11-12,Toronto Maple Leafs,1,Pittsburgh Penguins,4,,18668,2:23,
2016-11-12,San Jose Sharks,3,Tampa Bay Lightning,1,,19092,2:35,
2016-11-13,Montreal Canadiens,2,Chicago Blackhawks,3,,21762,2:36,
2016-11-13,Boston Bruins,2,Colorado Avalanche,0,,15808,2:31,
2016-11-13,New York Rangers,3,Edmonton Oilers,1,,18347,2:27,
2016-11-13,Minnesota Wild,2,Ottawa Senators,1,OT,14265,2:35,
2016-11-13,Dallas Stars,4,Vancouver Canucks,5,OT,18470,2:33,
2016-11-13,Los Angeles Kings,2,Winnipeg Jets,3,SO,15294,2:43,
2016-11-14,Tampa Bay Lightning,4,New York Islanders,0,,12498,2:26,
2016-11-15,Edmonton Oilers,1,Anaheim Ducks,4,,15600,2:33,
2016-11-15,San Jose Sharks,0,Carolina Hurricanes,1,,8932,2:18,
2016-11-15,Washington Capitals,1,Columbus Blue Jackets,2,OT,11738,2:30,
2016-11-15,Los Angeles Kings,1,Colorado Avalanche,4,,14805,2:35,
2016-11-15,New Jersey Devils,2,Dallas Stars,1,OT,18039,2:24,
2016-11-15,Tampa Bay Lightning,4,Detroit Red Wings,3,,20027,2:33,
2016-11-15,Calgary Flames,1,Minnesota Wild,0,,19048,2:32,
2016-11-15,Florida Panthers,4,Montreal Canadiens,3,OT,21288,2:29,
2016-11-15,Ottawa Senators,3,Philadelphia Flyers,2,SO,19358,2:49,
2016-11-15,Buffalo Sabres,1,St. Louis Blues,4,,16884,2:30,
2016-11-15,Nashville Predators,2,Toronto Maple Leafs,6,,19342,2:30,
2016-11-15,New York Rangers,7,Vancouver Canucks,2,,17814,2:27,
2016-11-15,Chicago Blackhawks,0,Winnipeg Jets,4,,15294,2:26,
2016-11-16,Arizona Coyotes,1,Calgary Flames,2,OT,18202,2:37,
2016-11-16,Pittsburgh Penguins,1,Washington Capitals,7,,18506,2:45,
2016-11-17,New Jersey Devils,2,Anaheim Ducks,3,,14954,2:46,
2016-11-17,Tampa Bay Lightning,4,Buffalo Sabres,1,,17870,2:29,
2016-11-17,Colorado Avalanche,2,Dallas Stars,3,,18237,2:42,
